depth_m	age_gas_calBP	age_gas_calBP	co2_ppm	co2_1s_ppm	notes
225.48	4480.00	4647.46	269.80	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
228.20	4573.00	4773.00	271.50	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
232.05	4703.00	4921.20	270.70	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
233.72	4766.00	4981.58	269.30	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
236.47	4874.00	5086.79	268.60	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
240.27	5004.00	5218.57	269.80	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
242.50	5094.00	5311.18	267.60	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
244.72	5160.00	5357.55	265.30	1.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
248.02	5274.00	5533.29	265.20	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
250.72	5370.00	5581.30	267.60	2.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
253.50	5476.00	5757.61	265.90	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
256.27	5562.00	5852.26	265.50	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
259.02	5657.00	5934.09	260.70	1.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
260.65	5716.00	5999.38	266.70	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
264.50	5855.00	6089.81	265.50	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
268.37	5998.00	6301.96	263.20	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
269.42	6039.00	6337.21	262.70	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
272.20	6131.00	6401.24	261.20	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
276.07	6263.00	6572.29	261.10	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
278.27	6354.00	6682.55	259.40	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
280.53	6434.00	6769.65	262.10	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
283.72	6545.00	6880.31	262.90	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
285.97	6617.00	6970.08	258.10	1.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
288.17	6713.00	7038.27	257.60	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
292.00	6838.00	7188.07	262.30	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
294.75	6941.00	7274.01	263.00	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
297.52	7028.00	7405.32	260.70	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
299.72	7112.00	7497.87	258.40	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
303.00	7234.00	7661.37	260.10	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
305.75	7320.00	7719.59	260.40	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
308.52	7413.00	7860.18	259.70	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
311.26	7507.00	7926.37	259.20	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
314.00	7590.00	7975.85	260.80	1.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
316.75	7691.00	8116.28	259.60	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
319.52	7781.00	8194.80	259.30	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
322.27	7876.00	8351.88	258.30	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
325.00	7990.00	8459.68	261.30	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
326.55	8050.00	8546.58	260.70	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
330.50	8181.00	8710.68	261.80	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
333.27	8281.00	8781.28	259.00	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
336.02	8387.00	8911.85	260.90	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
338.65	8477.00	8992.99	260.40	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
341.50	8579.00	9060.17	259.30	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
343.72	8653.00	9143.01	262.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
347.02	8784.00	9295.31	263.70	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
349.75	8869.00	9361.12	263.80	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
352.58	8973.00	9436.70	265.20	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
355.82	9092.00	9518.06	260.60	1.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
357.47	9140.00	9524.44	260.90	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
360.20	9232.00	9555.86	263.00	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
362.98	9317.00	9573.27	263.80	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
369.55	9536.00	9901.04	264.40	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
371.23	9597.00	9992.61	264.20	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
375.05	9721.00	10134.50	264.00	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
377.27	9807.00	10192.95	263.40	0.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
380.00	9909.00	10299.55	265.70	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
382.22	9983.00	10366.56	264.90	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
385.13	10088.00	10505.55	267.50	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
388.23	10209.00	10680.48	266.90	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
390.45	10294.00	10801.81	266.00	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
393.78	10417.00	10835.74	265.10	1.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
396.50	10527.00	10954.48	267.60	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
399.28	10621.00	11089.62	264.80	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
402.00	10744.00	11161.06	264.80	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
404.19	10805.00	11185.87	265.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
404.78	10827.00	11200.58	265.30	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
406.39	10895.00	11256.57	264.40	1.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
407.50	10933.00	11316.98	264.10	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
409.70	11014.00	11437.70	264.20	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
411.38	11087.00	11515.26	264.50	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
413.03	11136.00	11529.66	264.00	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
414.75	11201.00	11534.10	263.00	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
415.73	11236.00	11537.37	265.20	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
417.07	11278.00	11540.76	258.80	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
418.53	11338.00	11548.38	260.80	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
420.49	11392.00	11612.22	255.40	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
421.80	11436.00	11688.03	253.90	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
422.90	11469.00	11753.75	253.80	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
426.10	11580.00	11940.54	250.70	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
427.33	11635.00	12017.84	249.70	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
428.30	11676.00	12078.12	251.10	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
429.50	11727.00	12154.81	250.70	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
431.73	11819.00	12313.15	245.30	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
433.79	11896.00	12404.35	245.30	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
435.00	11958.00	12442.46	246.60	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
437.23	12050.00	12507.83	243.20	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
438.85	12122.00	12579.48	240.30	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
443.80	12371.00	12822.31	237.50	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
446.03	12496.00	12952.88	237.60	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
448.75	12642.00	13199.16	234.20	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
450.98	12760.00	13436.52	238.30	1.10	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
454.25	12942.00	13626.91	237.30	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
457.03	13090.00	13726.49	237.90	0.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
459.90	13241.00	13912.00	237.60	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
463.63	13440.00	14188.66	236.40	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
465.25	13542.00	14248.77	239.20	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
467.45	13653.00	14262.34	238.60	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
470.20	13804.00	14385.88	238.60	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
473.06	13948.00	14580.80	239.10	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
479.71	14303.00	14811.11	228.50	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
484.10	14550.00	15137.32	228.40	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
487.25	14725.00	15421.77	226.10	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
490.03	14890.00	15657.26	225.20	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
492.20	15012.00	15790.43	224.50	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
496.07	15233.00	15936.96	222.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
499.35	15438.00	16063.84	221.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
501.58	15570.00	16133.91	220.90	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
504.20	15742.00	16396.39	219.40	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
506.53	15886.00	16723.10	214.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
509.25	16073.00	16971.38	207.50	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
512.03	16260.00	17155.36	207.70	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
514.75	16452.00	17288.43	202.90	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
517.53	16659.00	17395.16	200.80	1.00	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
520.25	16870.00	17708.47	195.20	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
523.03	17111.00	18212.71	193.90	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
526.30	17375.00	18499.21	191.00	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
528.53	17565.00	18639.53	188.50	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
531.25	17809.00	18908.21	188.50	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
532.93	17943.00	19113.55	189.20	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
536.75	18285.00	19438.10	187.00	0.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
539.53	18541.00	19605.70	188.60	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
542.90	18828.00	19827.75	189.40	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
543.35	18868.00	19852.45	192.30	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
543.93	18921.00	19884.30	188.30	0.60	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
548.85	19347.00	20143.95	188.70	0.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
550.51	19509.00	20224.51	188.80	0.50	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
553.25	19748.00	20484.78	190.00	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
556.03	19988.00	20818.42	188.00	0.90	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
557.89	20168.00	21066.11	188.20	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
558.20	20197.00	21110.51	195.00	0.70	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
561.53	20502.00	21426.99	187.80	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
564.26	20748.00	21577.91	186.90	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
567.03	21011.00	21718.17	186.50	0.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
569.75	21257.00	21823.70	184.70	1.20	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
572.53	21507.00	21936.79	186.10	0.40	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
576.33	21854.00	22133.25	185.70	1.30	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
578.11	22015.00	22236.43	184.40	0.80	Dome C (0-22 kyr BP)  Monnin et al. (2001+2004) University of Bern
					
2761.85	415717.00	415945.61	276.40	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2762.89	416193.00	416425.32	271.70	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2765.08	417191.00	417440.44	273.40	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2766.18	417698.00	417956.78	271.80	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2767.33	418245.00	418505.30	274.60	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2769.48	419260.00	419575.78	273.70	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2770.58	419808.00	420133.76	271.20	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2771.68	420350.00	420701.76	273.80	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2773.88	421484.00	421912.15	268.60	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2774.96	422074.00	422532.65	266.40	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2776.13	422649.00	423225.50	270.60	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2778.28	423764.00	424507.75	267.70	2.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2779.39	424332.00	425132.26	268.30	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2780.48	424840.00	425740.91	270.80	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2781.32	425242.00	426237.27	270.00	2.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2781.96	425569.00	426621.56	265.40	2.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2782.73	425975.00	427154.96	255.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2783.81	426598.00	427941.40	252.10	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2784.88	427285.00	428840.20	248.20	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2785.27	427566.00	429178.36	242.50	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2787.08	429006.00	431023.76	219.70	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2788.03	429876.00	432179.31	227.20	2.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2789.29	431063.00	433850.30	211.50	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2789.67	431445.00	434379.07	207.60	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2790.78	432599.00	435939.69	209.80	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2791.87	433674.00	437485.42	207.50	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2792.97	434804.00	439063.42	200.30	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2794.08	435989.00	440659.58	201.70	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2795.17	437152.00	442230.78	201.30	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2796.28	438356.00	443844.65	202.00	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2797.38	439565.00	445331.73	199.10	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2798.92	441220.00	447219.18	201.10	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2800.02	442411.00	448459.18	203.50	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2801.13	443562.00	449571.04	208.10	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2802.21	444650.00	450642.89	201.70	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2803.33	445829.00	451747.28	201.20	2.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2804.42	446984.00	452735.84	204.90	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2805.52	448103.00	453775.64	201.90	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2806.62	449244.00	454864.31	198.40	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2807.72	450455.00	456001.61	193.30	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2808.82	451593.00	457114.44	192.50	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2809.46	452283.00	457745.13	199.10	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2809.93	452795.00	458208.29	204.30	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2810.56	453514.00	458794.01	203.30	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2811.01	454023.00	459211.55	208.30	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2812.12	455279.00	460252.21	202.40	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2813.21	456591.00	461286.06	195.50	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2814.32	458049.00	462414.10	190.70	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2815.43	459430.00	463526.65	194.40	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2816.52	460792.00	464599.47	199.90	2.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2817.25	461687.00	465265.36	205.20	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2817.62	462133.00	465601.73	210.00	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2818.72	463456.00	466632.30	208.10	2.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2819.83	464866.00	467706.64	204.40	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2820.92	466265.00	468877.71	203.40	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2822.01	467602.00	470040.13	205.50	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2822.66	468323.00	470725.98	206.50	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
